id,long,lat,averageDistance,nbSpeakers
2,0.518581,52.761333,0.000000,2
2052,2.492223,48.799782,0.000000,2
2053,16.351028,56.659066,0.000000,2
2059,5.209345,46.199166,0.000000,2
12,4.350675,50.835616,0.000000,7
17,-2.065215,18.630293,1193.970701,7678
2078,-56.019878,-28.057013,0.000000,2
33,8.927373,43.557945,367.793172,8682
2082,-58.508385,-34.529882,0.000000,3
35,-6.383791,42.136691,1151.814856,38675
2084,2.502553,48.755159,0.000000,2
38,-80.087055,26.311921,0.000000,5
41,7.745082,39.104136,238.373076,83
2090,0.364429,41.197307,123.189960,2
44,5.493735,48.813624,186.391136,9057
45,-7.931155,36.341904,1350.888982,14
2098,4.709367,45.716264,0.000000,2
52,-96.761753,32.819859,0.000000,3
54,-60.707203,-31.598283,0.000000,3
58,2.122982,48.804196,0.000000,2
61,2.291459,48.534019,0.000000,6
2112,5.192004,51.050612,0.000000,3
65,4.427648,50.422712,0.000000,5
71,-58.442643,-34.604315,0.000000,3
2125,2.341200,48.856900,0.000000,2
80,24.515770,46.301047,1637.349385,9
2142,-6.916355,35.714069,0.000000,2
99,4.032210,50.509298,0.000000,3
2149,-9.251352,30.380996,0.000000,2
112,3.338316,47.039813,195.986304,5001
114,5.807476,50.668992,42.151974,2
123,-63.418240,-38.263898,0.000000,2
2175,1.643238,28.034750,0.000000,2
2177,-6.916355,35.714069,0.000000,3
130,7.392281,48.111419,0.000000,3
2182,120.564695,15.114030,0.000000,2
136,2.347003,48.858834,0.000000,2
142,-1.280082,48.286446,205.483417,12793
2196,2.351397,48.877143,0.000000,3
2197,2.503162,45.288772,0.000000,2
153,7.758691,48.559457,0.000000,3
154,121.027945,14.793157,0.000000,4
2203,5.399650,43.276111,0.000000,3
2207,-68.095722,-38.952888,0.000000,3
2211,1.737568,49.004419,0.000000,2
2212,-7.601872,33.591702,0.000000,2
166,23.666869,-0.727526,829.346826,3
2217,-7.038195,33.847545,0.000000,2
171,36.715480,-1.333772,0.000000,3
172,5.404584,43.316009,0.000000,7
175,1.432901,43.600758,0.000000,2
177,2.068254,47.450649,386.605362,193309
184,5.271462,50.095446,201.037921,2907
190,-80.937364,45.243718,0.000000,2
196,-48.301570,-18.945978,0.000000,2
201,35.520459,33.871849,0.000000,2
208,-8.844274,39.563958,199.922798,19841
2083,-0.586816,47.465226,0.000000,3
212,-0.390710,51.441582,0.000000,5
2265,11.912583,39.800375,0.000000,3
221,-0.374556,51.420360,0.000000,2
223,2.338593,48.871469,0.000000,2
225,10.166958,36.790887,0.000000,4
2274,-66.904488,10.509924,0.000000,2
2280,-81.166241,42.996968,0.000000,3
2287,2.334146,48.861395,0.000000,2
2288,-2.259068,43.299243,0.000000,2
241,4.867435,45.749913,0.000000,6
2292,-5.343596,35.588982,0.000000,3
247,9.921353,44.352673,191.042442,335
2296,2.122875,48.804317,0.000000,2
2298,4.775956,50.599753,0.000000,3
251,7.759378,48.570401,0.000000,3
253,14.886387,45.562306,0.000000,3
259,9.920955,52.122936,0.000000,2
260,10.237035,36.843360,0.000000,5
262,4.475898,51.922694,0.000000,2
263,-0.435876,46.403593,182.999882,6356
2312,6.642999,44.900617,0.000000,2
266,14.511565,35.874474,0.000000,2
2318,2.172200,47.461156,0.000000,2
273,3.964329,43.638555,0.000000,2
274,1.696225,52.671762,0.000000,2
2326,-17.193057,14.720670,0.000000,3
279,0.329443,51.145388,0.000000,2
282,-46.723533,-23.494396,0.000000,2
2339,11.995913,57.419461,0.000000,2
2340,-56.176439,-34.890694,0.000000,2
2345,-3.829639,40.334731,0.000000,2
2349,2.655860,48.908356,0.000000,2
302,6.339456,12.460369,1507.927986,65
307,-33.189870,51.260165,0.000000,5
308,5.372314,43.277205,0.000000,65
2358,-6.916355,35.714069,0.000000,2
311,16.797612,45.297416,323.146797,915
2366,-1.594831,37.419785,0.000000,2
334,3.264959,48.533162,422.558058,23780
2383,-70.856752,19.550529,0.000000,2
340,4.591234,52.490868,0.000000,2
344,-61.399288,-33.089081,0.000000,4
2399,6.994253,47.636337,0.000000,2
353,2.139299,41.394132,0.000000,3
2402,-2.330622,34.923894,0.000000,2
2405,12.321496,45.432273,0.000000,2
364,-2.233480,53.442362,0.000000,2
367,5.409201,50.875569,446.935660,157
2416,-53.184834,-14.239565,0.000000,3
2418,-9.738467,40.261798,728.850290,2
375,10.271777,36.771554,0.000000,3
376,9.689516,50.678477,81.918134,3
379,1.238989,47.201941,344.813387,182842
2442,7.305194,48.088943,0.000000,2
397,-1.058711,48.932896,130.048396,4
400,1.247084,47.515324,349.270759,42874
406,2.347005,48.858853,0.000000,3
409,0.938004,51.687877,0.000000,2
1775,7.268711,43.694952,0.000000,2
2466,6.867258,47.955597,0.000000,3
424,-46.726537,51.149353,1756.228035,2
435,5.866670,50.500000,0.000000,2
2486,5.129040,45.754559,0.000000,2
450,53.944528,22.511191,0.000000,2
459,4.545797,50.283679,0.000000,2
2521,0.098587,43.984500,413.498298,2
476,-1.594007,54.405203,32.548098,2
477,1.439847,43.608369,0.000000,2
481,-2.192812,53.467663,0.000000,2
482,4.835099,45.757822,0.000000,2
2531,6.860291,47.519110,0.000000,2
2534,2.363312,48.886236,0.000000,2
489,-57.329269,-35.394773,0.000000,2
491,10.496075,36.425114,153.212377,3
506,6.025980,45.435794,0.000000,3
514,-8.362331,45.602809,1021.191728,2662
2577,-46.559583,-23.544342,0.000000,2
530,-3.810350,40.300059,0.000000,2
531,-8.357150,37.101190,0.000000,4
2582,-10.165188,29.374809,0.000000,2
537,-66.611932,18.033157,0.000000,2
2592,-7.994159,31.633414,0.000000,2
546,-3.290061,36.424653,427.061459,9719
548,6.813904,40.590383,567.885590,172
550,2.373636,48.844662,0.000000,4
2599,3.430515,49.921909,0.000000,2
2607,5.178405,52.039129,0.000000,2
